"","Estimate","Std. Error","t value","Pr(>|t|)"
"highGtoR",0.732624313487331,0.0303553313815671,24.1349469810831,0.000155902874312391
"lowGtoR",0.131598142043131,0.0801017676658667,1.64288686601866,0.198949378092258
"pKa",4.26114925100833,0.128037796749411,33.2804012501717,5.96341852745145e-05
"slope",0.30283055523616,0.117527366912526,2.57668118661718,0.0820157022265772
