"","Well","count","G...R","O...R","pH","Area","logCa","Ca","Conc","cell_line"
"1","B02",2660,0.102040415207307,0.08484883787763,4.96082242283155,89.8842105263158,1.22472875649492,285.049200026943,"DMSO","L4992"
"2","B03",6748,0.107776604425173,0.0822377287792699,5.04002625965984,89.1144042679312,1.07018157756916,203.346406188902,"DMSO","L4992"
"3","B04",1317,0.109592234244706,0.0978477565135941,5.07278605294971,65.9848139711466,1.26304386916629,324.168104639171,"DMSO","L3200"
"4","B05",2837,0.110240018037621,0.097122116351938,5.08713496348751,63.6369404300317,1.24179098734424,319.322740671341,"DMSO","L3200"
"5","C02",1566,0.100341332824108,0.0889039902992325,4.93179370351683,87.4623243933589,1.33023708214943,325.718940087862,"DMSO","L4992"
"6","C03",3814,0.101497834922801,0.0827535030765067,4.94673737164934,93.7469847928684,1.20862690345894,237.65067747971,"DMSO","L4992"
"7","C04",3337,0.107666048509977,0.088729124627707,5.04521355993479,83.1453401258616,1.17875273782543,247.993888566228,"DMSO","L3200"
"8","C05",6847,0.100774636649725,0.0773911619785702,4.94024847702558,92.2958960128523,1.12664496805423,213.653115210501,"DMSO","L3200"
"9","D02",1012,0.081815189926631,0.0932969285467025,4.67195053489601,141.098814229249,1.82479843672343,704.868953364117,"100uM","L4992"
"10","D04",1697,0.0942570763219838,0.0924467407659286,4.85048159528757,110.903358868592,1.51010823859906,415.828537628428,"100uM","L3200"
"11","D05",2749,0.0983917594212404,0.0978906725646368,4.91027258636991,94.2095307384503,1.51792093904484,477.528890436857,"100uM","L3200"
"12","E02",545,0.0865110090724766,0.0909357981442578,4.74480841337046,129.119266055046,1.66247107869235,477.744703275619,"100uM","L4992"
"13","E03",320,0.0858207488791389,0.0876737608195055,4.73032471356552,136.93125,1.62389589493502,365.36225742598,"100uM","L4992"
"14","E04",1189,0.0934901032108757,0.0889592587595006,4.8418338573934,126.226240538267,1.47923384910627,405.930589085861,"100uM","L3200"
"15","E05",3158,0.0979295578361934,0.0917456357458305,4.90400581145112,108.729259024699,1.42754002857598,367.554238431585,"100uM","L3200"
"16","F02",1236,0.0848474390397068,0.0941832729243926,4.71601589738607,141.006472491909,1.77575269851161,684.165338316387,"100uM","L4992"
